,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
83,83,2020-07-10,"52,700",-100,13714746,4794904,8391496,-3596592,3610216,2005688,1604528,1992064,,,5309626,3317562,38.7147235537574,17.16230948952897,24.18974438170419,-15.212967406709518,14.524979172053204,-26.22426984794323,11.699290675890024
84,84,2020-07-09,"52,800",-200,17054850,7672370,9955619,-2283249,4729719,3219462,1510257,772992,,,4652761,3879769,27.281160491004034,-11.433563062753368,22.74877234335101,-1.4409720383531806,4.5323881476530135,-13.387681509951715,8.855293362298701
85,85,2020-07-08,"53,000",-400,19664652,8894979,10392756,-1497777,5193371,5409395,-216024,1713801,,,5576302,3862501,28.35698287465245,1.075822383648422,19.64184771741702,-3.1069246259339915,8.71513515723543,-7.616595503444454,-1.0985396537909748
86,86,2020-07-07,"53,400","-1,600",30760032,11690461,15754835,-4064374,5103654,5726685,-623031,4687405,,,13965917,9278512,45.402803872245634,17.045820997593193,30.16418188381599,10.522334166398972,15.23862198842966,-13.21316570802007,-2.0254562804095912
87,87,2020-07-06,"55,000","1,400",19856623,10962106,6599152,4362954,3072581,1723880,1348701,-5711655,,,5821936,11533591,29.319869748244706,-16.08293412400094,58.084353014105176,27.92017113028919,-28.764483265860463,21.9722860226535,6.792197243206965
88,88,2020-07-03,"53,600",700,11887868,6409811,5418146,991665,2769143,1150631,1618512,-2610177,,,2708914,5319091,22.787214662881517,-6.5326550853631815,44.743859874621755,-13.34049313948342,-21.956645211740238,8.34182378202719,13.614821429713048
89,89,2020-07-02,"52,900",300,14142583,6957082,7427264,-470182,4101713,4188287,-86574,556756,,,3083788,2527032,21.80498428045287,-0.98223038242865,17.86824938556132,-26.875610489060435,3.9367348948915484,-3.3245836351110682,-0.61215125978048
90,90,2020-07-01,"52,600",-200,16706143,8449077,8021941,427136,3690754,5326597,-1635843,1208707,,,4566312,3357605,27.333131291884666,5.528147011431796,20.098026217062788,2.2297768315014683,7.235105074821878,2.5567601091406917,-9.79186518396257
91,91,2020-06-30,"52,800",400,21157172,10311976,9071273,1240703,7136159,5515177,1620982,-2861685,,,3709037,6570722,17.530873218783682,-9.802258073100985,31.056712116345224,10.958685899282436,-13.525838897561545,5.86421947129796,7.661619426263585
92,92,2020-06-29,"52,400",-900,17776925,9594661,10478909,-884248,3286709,3823944,-537235,1421483,,,4895555,3474072,27.53881787767007,10.007944658886386,19.542592433730803,-11.51411968261442,7.996225443939264,-4.974133602971268,-3.022091840967996
93,93,2020-06-26,"53,300","1,400",21575360,11059519,9614557,1444962,5560674,3293172,2267502,-3712464,,,4955167,8667631,22.966787112706342,-4.572030764963723,40.17374912863563,20.631156694904824,-17.20696201592928,6.697278747608383,10.509683268320899
94,94,2020-06-25,"51,900","-1,000",18541624,8516119,12346277,-3830158,3891074,2268025,1623049,2207109,,,6134431,3927322,33.084647817257,10.117860704550656,21.181111212264906,-18.992637916370725,11.903536604992098,-20.657079444605284,8.753542839613186
95,95,2020-06-24,"52,900","1,500",24519552,11584112,10309536,1274576,6094943,3275747,2819196,-4093772,,,6840497,10934269,27.898132070276,-5.1865157469810015,44.59408149055904,23.412970278294143,-16.695949420283046,5.19820264252789,11.497746777755156
96,96,2020-06-23,"51,400",-600,18086152,9289508,10850224,-1560716,2739803,3213868,-474065,2034781,,,6056841,4022060,33.48883167630129,5.5906996060252965,22.238340140014305,-22.355741350544747,11.250491536286988,-8.629342493638227,-2.6211490426487623
97,97,2020-06-22,"52,000",-900,13801350,7409457,7405819,3638,2268957,3656158,-1387201,1383563,,,4122936,2739373,29.87342542577357,-3.61540625052773,19.84858727588243,-2.389752864131875,10.024838149891133,0.026359740170345654,-10.051197890061479
98,98,2020-06-19,"52,900",600,18157985,7603628,8121314,-517686,7652948,5665356,1987592,-1469906,,,2901409,4371315,15.97869477257526,-13.894730653198303,24.073789024498037,4.225201748615607,-8.095094251922777,-2.851010175413186,10.946104427335962
99,99,2020-06-18,"52,300",100,15982926,7720237,8129722,-409485,4986965,4714330,272635,136850,,,3275724,3138874,20.495145882549924,4.516451109974655,19.638919682165827,-4.434869342332206,0.8562262003840848,-2.562015240513533,1.7057890401294482
100,100,2020-06-17,"52,200",100,26672595,12827521,12979182,-151661,9281541,7537292,1744249,-1592588,,,4563533,6156121,17.109445106484767,-3.3857007760651534,23.08032270575848,3.4414030235926454,-5.970877599273711,-0.5686023425917126,6.539479941865424
101,101,2020-06-16,"52,100","2,200",21808375,11969652,8859331,3110321,3547574,5678813,-2131239,-979082,,,6291149,7270231,28.847399221629306,11.737954115144547,33.336876314718545,10.256553608960068,-4.489477093089238,14.26204841030109,-9.77257131721185
102,102,2020-06-15,"49,900","-2,400",28772921,9309859,13176403,-3866544,5049064,6589494,-1540430,5406974,,,14413998,9007024,50.09570630663464,21.24830708500533,31.303822090221573,-2.033054224496979,18.791884216413063,-13.438135113219822,-5.353749103193242
103,103,2020-06-12,"52,300","-2,000",26976019,9455821,11272827,-1817006,4828221,5623752,-795531,2612537,,,12691977,10079440,47.049110545184604,-3.0465957614500354,37.36444580647723,6.060623716255662,9.684664738707369,-6.735634342487674,-2.9490303962196944
104,104,2020-06-11,"54,300","-1,100",33815123,13674291,20369695,-6695404,4704763,6312687,-1607924,8303328,,,15436069,7132741,45.648418904169006,-1.4006916410155907,21.09334631135306,-16.271099495124172,24.555072592815943,-19.800028525698398,-4.755044067117544
105,105,2020-06-10,"55,400",-100,16742493,8288528,7199036,1089492,4125743,4476024,-350281,-739211,,,4328222,5067433,25.851717542901174,-19.79670136126784,30.266896333777773,9.173550022424713,-4.415178790876603,6.507346307386839,-2.0921675165102354
106,106,2020-06-09,"55,500",600,23998831,10595919,13319422,-2723503,4211227,3094201,1117026,1606477,,,9191685,7585208,38.30055305610511,12.44883551320394,31.606572836818597,1.3396765030408204,6.693980219286514,-11.348481932307452,4.654501713020938
107,107,2020-06-08,"54,900",-600,25634965,11523849,12668890,-1145041,4336552,5969457,-1632905,2777946,,,9774564,6996618,38.12981215304956,-0.17074090305555245,27.293261371724125,-4.313311465094468,10.836550781325428,-4.4667156752505806,-6.369835106074848
108,108,2020-06-05,"55,500",900,22743629,12687208,9938655,2748553,3844962,3979527,-134565,-2613988,,,6211459,8825447,27.31076469810513,-10.819047454944426,38.80404046337548,11.510779091651356,-11.493275765270353,12.084935961626881,-0.5916601963565269
109,109,2020-06-04,"54,600",100,40220334,17549603,15940604,1608999,9195981,7552302,1643679,-3252678,,,13474750,16727428,33.50233242717477,6.191567729069643,41.589480584621704,2.785440121246218,-8.087148157446927,4.000461557579308,4.086686599867619
110,110,2020-06-03,"54,500","3,100",49257814,22439769,12877071,9562698,9905957,6627240,3278717,-12841415,,,16912088,29753503,34.33381757460857,0.8314851474337956,60.403620428628855,18.814139844007148,-26.069802854020278,19.413565530942968,6.656237323077309
111,111,2020-06-02,"51,400",200,14247933,7258948,6357564,901384,2529164,2852030,-322866,-578518,,,4459821,5038339,31.301529842960377,-3.0322877316481858,35.361894248099006,-25.04172618052984,-4.0603644051386265,6.326419418171043,-2.2660550130324166
112,112,2020-06-01,"51,200",500,16949183,8267920,6170209,2097711,3883525,3940820,-57295,-2040416,,,4797738,6838154,28.30660333303381,-2.994926509926572,40.34503609997013,4.9831418518711255,-12.038432766936317,12.376472659478631,-0.3380398925423131
113,113,2020-05-29,"50,700",300,27596961,8598574,10491385,-1892811,15415280,11648307,3766973,-1874162,,,3583107,5457269,12.983701357551654,-15.322901975482154,19.77489115558775,-20.570144944382378,-6.791189798036095,-6.858766079351998,13.649955877388093
114,114,2020-05-28,"50,400",500,31309318,13880170,11109010,2771160,8265604,5857102,2408502,-5179662,,,9163544,14343206,29.267785392195385,16.28408403464373,45.81130128736754,26.0364101317798,-16.543515895172167,8.850911412378895,7.69260448279327
115,115,2020-05-27,"49,900",650,19548479,7943324,7819126,124198,5638212,2611763,3026449,-3150647,,,5966943,9117590,30.523822339323694,1.2560369471283046,46.64091768981106,0.8296164024435058,-16.11709535048737,0.6353333167250506,15.481762033762319
116,116,2020-05-26,"49,250",400,15127490,7483678,5821982,1661696,3211317,4057311,-845994,-815702,,,4432495,5248197,29.300928309984013,-1.2228940293396775,34.69311167946566,-11.947806010345394,-5.3921833694816526,10.984611459006087,-5.592428089524435
117,117,2020-05-25,"48,850",100,14337913,7080068,6856281,223787,1864864,4090677,-2225813,2002026,,,5392981,3390955,37.613430908668505,8.312502598684496,23.650269045432204,-11.042842634033455,13.963161863236301,1.5608059555110985,-15.523967818747401
118,118,2020-05-22,"48,750","-1,200",19706284,6115808,8982988,-2867180,2210869,5710330,-3499461,6366641,,,11379607,5012966,57.74608241716196,20.132651508493453,25.43841345227746,1.7881444068452552,32.3076689648845,-14.549572106034805,-17.758096858849694
119,119,2020-05-21,"49,950",-50,14949266,5774835,8129197,-2354362,4770224,2865955,1904269,450093,,,4404207,3954114,29.461025042968664,-28.285057374193286,26.45022170319265,1.0118082509151909,3.010803339776013,-15.74901403185949,12.738210692083477
120,120,2020-05-20,"50,000",-300,14896899,5817531,5952563,-135032,5281725,5093113,188612,-53580,,,3797643,3851223,25.49284250366469,-3.968182539303978,25.85251467436277,-0.597707028829884,-0.35967217069807617,-0.9064436833464468,1.266115854044523
121,121,2020-05-19,"50,300","1,500",25168295,11201399,5980185,5221214,6136287,4377943,1758344,-6979558,,,7830609,14810167,31.11298957676712,5.620147073102434,58.84453833682417,32.992023662461406,-27.73154876005705,20.74520343948607,6.9863453205709805
122,122,2020-05-18,"48,800",950,20481981,8964510,7188363,1776147,5442883,4329456,1113427,-2889574,,,6074588,8964162,29.658205424563178,-1.4547841522039384,43.766088836817104,-15.07844950000707,-14.107883412253923,8.671753967548353,5.436129444705569
123,123,2020-05-15,"47,850",-150,18463118,8734136,6896282,1837854,5077884,7183062,-2105178,267324,,,4651098,4383774,25.191292175026987,-4.466913249536192,23.74341105332263,-20.022677783494476,1.4478811217043621,9.954190836022388,-11.40207195772675
124,124,2020-05-14,"48,000",-550,19305974,8586280,9861037,-1274757,5403451,6623672,-1220221,2494978,,,5316243,2821265,27.53677695826173,2.3454847832347347,14.613430019122578,-9.129981034200053,12.92334693913915,-6.602914724737535,-6.320432214401615
125,125,2020-05-13,"48,550",650,20223277,6934988,7434183,-499195,8164890,8679255,-514365,1013560,,,5123399,4109839,25.33416814693286,-2.202608811328865,20.322319671534935,5.708889652412356,5.011848475397929,-2.4684179522438425,-2.543430523154086
126,126,2020-05-12,"47,900",-500,23433590,7226425,10500588,-3274163,6295160,8276175,-1981015,5255178,,,9912005,4656827,42.29827781402678,16.964109667093922,19.872443786888823,-0.4498758846461115,22.425834027137967,-13.972093051043396,-8.453740976094572
127,127,2020-05-11,"48,400",-400,16357743,6405224,8093736,-1688512,3182796,4435166,-1252370,2940882,,,6769723,3828841,41.38543440864672,-0.9128434053800588,23.406902773811765,3.5344589869229424,17.97853163483495,-10.32240205754547,-7.656129577289483
128,128,2020-05-08,"48,800",0,15319700,6803516,5761273,1042243,3640751,5872372,-2231621,1189378,,,4875433,3686055,31.824598392918922,-9.560836015727801,24.060882393258357,0.6539796194465879,7.763715999660568,6.803285965129866,-14.567001964790434
129,129,2020-05-07,"48,800",-400,13884411,6667366,6566134,101232,3326243,4752107,-1425864,1324632,,,3890802,2566170,28.022809177861422,-3.801789215057504,18.482382868095733,-5.5784995251626155,9.540426309765678,0.72910546943619,-10.269531779201868
130,130,2020-05-06,"49,200",700,18070225,7246520,6246922,999598,5539413,7210229,-1670816,671218,,,5284292,4613074,29.2430891148284,1.2202799369669783,25.528591924007593,7.046209055911852,3.7144971908208118,5.531740750322699,-9.24623794114351
131,131,2020-05-04,"48,500","-1,500",26083749,5871802,10972059,-5100257,6224658,12103092,-5878434,10978691,,,13987289,3008598,53.624534571314875,24.38144545648648,11.534377209349776,-13.994214714657812,42.090157361965105,-19.553389353654644,-22.53676800831046
132,132,2020-04-29,"50,000",-100,15604533,7501517,7112352,389165,4137958,4031124,106834,-495999,,,3965058,4461057,25.409655002171483,-28.2148795691434,28.58821215604465,17.053834946694874,-3.1785571538731725,2.49392275949559,0.6846343943775824
133,133,2020-04-28,"50,100",250,16095399,6170738,7089274,-918536,5369893,4768907,600986,317550,,,4554768,4237218,28.298571535878054,2.8889165337065634,26.32564747229938,-2.262564683745275,1.9729240635786662,-5.706823422022654,3.7338993584439875
134,134,2020-04-27,"49,850",500,14049471,7276381,5026355,2250026,3509158,3799633,-290475,-1959551,,,3263932,5223483,23.231707442935036,-5.066864092943007,37.1792147903647,10.853567318065323,-13.947507347429665,16.015022914385888,-2.067515566956222
135,135,2020-04-24,"49,350",-500,15618347,5413509,8131335,-2717826,5143553,4512919,630634,2087192,,,5061285,2974093,32.406022225015235,9.174314782080195,19.042303260389847,-18.136911529974856,13.363718964625386,-17.401495817707215,4.037776853081827
136,136,2020-04-23,"49,850",0,18754442,9298199,8593761,704438,4425233,5324472,-899239,194801,,,5031010,4836209,26.825698146604413,-5.580324078410818,25.78700555313776,6.744702292747912,1.038692593466657,3.756112818499212,-4.79480541196587
137,137,2020-04-22,"49,850",600,18613864,7046805,9610308,-2563503,4184237,3399328,784909,1778594,,,7382822,5604228,39.66302751540465,12.837329368800232,30.10781641039173,4.320810857253973,9.555211105012908,-13.77200886393067,4.216797758917761
138,138,2020-04-21,"49,250",-850,27407543,10395528,12071337,-1675809,4399145,8185791,-3786646,5462455,,,12612870,7150415,46.01970340792679,6.356675892522142,26.08922295588481,-4.018593454506924,19.93048045204198,-6.1144079934491025,-13.816072458592878
139,139,2020-04-20,"50,100","-1,300",21866354,7255381,10829161,-3573780,5093828,6328269,-1234441,4808221,,,9517145,4708924,43.52415130570007,-2.4955521022267177,21.535021339177078,-4.554201616707734,21.989129966523,-16.34373979310863,-5.64539017341437
140,140,2020-04-17,"51,400","2,400",32041675,10887353,8563576,2323777,10284642,5146545,5138097,-7461874,,,10869680,18331554,33.923569850827086,-9.600581454872989,57.21159708410999,35.676575744932904,-23.288027233282904,7.252358061805445,16.03566917147746
141,141,2020-04-16,"49,000",0,23349760,7541934,7219293,322641,11542043,12611825,-1069782,747141,,,4265783,3518642,18.269065720589847,-15.65450413023724,15.069285508716149,-42.14231157539384,3.199780211873698,1.3817743736980594,-4.581554585571758
142,142,2020-04-14,"49,000",700,14206216,7250899,4609532,2641367,3852119,3371982,480137,-3121504,,,3103198,6224702,21.843944932274717,3.5748792116848698,43.8167489498963,28.747463441180148,-21.97280401762158,18.593037019851028,3.3797669977705533
143,143,2020-04-13,"48,300",-950,14431800,6155374,9083047,-2927673,1331430,1666626,-335196,3262869,,,6944996,3682127,48.12286755636858,26.278922624093862,25.51398300974237,-18.302765940153925,22.6088845466262,-20.286263667733756,-2.322620878892446
144,144,2020-04-10,"49,250",150,17839111,6760668,9191763,-2431095,4709425,4187861,521564,1909531,,,6369018,4459487,35.702552666441726,-12.420314889926852,24.9983701542078,-0.5156128555345774,10.704182512233933,-13.627893228535884,2.9237107163019505
145,145,2020-04-09,"49,100",500,22628058,11523038,12859513,-1336475,4710106,4610895,99211,1237264,,,6394914,5157650,28.260993497541858,-7.441559168899867,22.793162365060226,-2.205207789147572,5.4678311324816296,-5.906273529968855,0.4384423974872258
146,146,2020-04-08,"48,600","-1,000",25010314,9936297,12847816,-2911519,6380493,4438803,1941690,969829,,,8693524,7723695,34.75975551526462,6.498762017722766,30.882039305863966,8.088876940803747,3.8777162094006496,-11.641273276297131,7.763557066896481
147,147,2020-04-07,"49,600",900,31524034,13818156,12711964,1106192,6507427,5452715,1054712,-2160904,,,11198451,13359355,35.52353420250721,0.7637786872425849,42.378316810596,11.496277504732035,-6.8547826080888,3.509043290589015,3.3457393174997843
148,148,2020-04-06,"48,700","1,700",23395726,12123249,6142424,5980825,4526138,4766036,-239898,-5740927,,,6746339,12487266,28.835775389060373,-6.68775881344683,53.37413337803665,10.995816567440656,-24.538357988976276,25.56375040466793,-1.0253924156916523
149,149,2020-04-03,"47,000",200,22784682,9724428,10312344,-587916,6744753,6725491,19262,568654,,,6315501,5746847,27.718188035277386,-1.1175873537829908,25.222414778490208,-28.151718599546445,2.4957732567871695,-2.5803125099573476,0.0845392531701781
150,150,2020-04-02,"46,800","1,000",21621076,9842011,8496077,1345934,3932956,5440758,-1507802,161868,,,7846109,7684241,36.289169882201975,8.570981846924589,35.54051148980745,10.318096711317237,0.748658392394532,6.225101840444943,-6.973760232839476
151,151,2020-04-01,"45,800","-1,950",27259532,8949390,13604432,-4655042,4842970,7286451,-2443481,7098523,,,13467172,6368649,49.40353341355971,13.114363531357725,23.363016650469273,-12.177494839338177,26.04051676309043,-17.07674952013116,-8.96376724295927
152,152,2020-03-31,"47,750",-100,30654261,10811188,13812615,-3001427,9001485,9204136,-202651,3204078,,,10841588,7637510,35.36731157864155,-14.036221834918154,24.915002844139682,1.5519861936704054,10.45230873450187,-9.791222825433632,-0.6610859090682368
153,153,2020-03-30,"47,850",-450,26797395,12525328,12544154,-18826,4598853,5633049,-1034196,1053022,,,9673214,8620192,36.09759082925785,0.7302792506162916,32.168022302167806,7.253019458028127,3.92956852709004,-0.07025309736263544,-3.8593154297274044
154,154,2020-03-27,"48,300",500,39896178,17145659,16179095,966564,6132373,9245415,-3113042,2146478,,,16618146,14471668,41.65347868660503,5.555887857347179,36.27331921368508,4.105296911517272,5.380159472919937,2.422698234402303,-7.80285770732224
155,155,2020-03-26,"47,800",-850,42185129,15191243,18899191,-3707948,9361738,8809095,552643,3155305,,,17632148,14476843,41.7970702424544,0.1435915558493761,34.317408392895985,-1.9559108207890932,7.479661849558407,-8.789704068464506,1.3100422189060985
156,156,2020-03-25,"48,650","1,700",52735922,17523950,19219398,-1695448,7534954,10255254,-2720300,4415748,,,27677018,23261270,52.482287121101244,10.685216878646848,44.108966180585604,9.791557787689612,8.37332094051565,-3.2149774493370953,-5.158343491178556
157,157,2020-03-24,"46,950","4,450",49801908,19575238,16320914,3254324,10078776,7167814,2910962,-6165286,,,20147894,26313180,40.4560684703084,-12.026218650792842,52.83568653634716,8.726720355761564,-12.379618066038756,6.534536789233055,5.8450812768057
158,158,2020-03-23,"42,500","-2,900",41701626,14029123,17278114,-3248991,5770669,13878748,-8108079,11357070,,,21901834,10544764,52.52033577779437,12.064267307485972,25.286217856349296,-27.549468679997865,27.234117921445076,-7.791041529172028,-19.44307639227305
159,159,2020-03-20,"45,400","2,450",49730008,20147823,18478699,1669124,8548993,13678188,-5129195,3460071,,,21033192,17573121,42.2947689853579,-10.225566792436474,35.337056450905855,10.050838594556561,6.957712534452035,3.356371871084356,-10.314084405536391
160,160,2020-03-19,"42,950","-2,650",56925513,21441169,19828729,1612440,7933533,13717525,-5783992,4171552,,,27550811,23379259,48.3980021400949,6.103233154736997,41.0699135904142,5.73285713950834,7.328088549680703,2.832543643480209,-10.160632193160913
161,161,2020-03-18,"45,600","-1,700",40152623,10842188,16506126,-5663938,8218781,9363239,-1144458,6808396,,,21091654,14283258,52.528707775828245,4.1307056357333485,35.57241577966152,-5.497497810752677,16.956291996166726,-14.106022413529498,-2.850269582637229
162,162,2020-03-17,"47,300","-1,600",51218151,15784920,13296336,2488584,9432725,20876024,-11443299,8954715,,,26000506,17045791,50.76424176265169,-1.7644660131765593,33.280762126692146,-2.291653652969366,17.483479635959526,4.858793125897887,-22.342272761857412
163,163,2020-03-16,"48,900","-1,050",33339821,9340167,12617890,-3277723,4288960,8659561,-4370601,7648324,,,19710694,12062370,59.12057536241721,8.356333599765527,36.18006827331197,2.8993061466198142,22.940507089105246,-9.831255542733718,-13.10925154637153
164,164,2020-03-13,"49,950",-850,59462933,18257711,14220758,4036953,9511187,21372340,-11861153,7824200,,,31694035,23869835,53.300490576204844,-5.8200847862123775,40.142377437049724,3.9623091637377637,13.15811313915511,6.789024349000746,-19.947137488155857
165,165,2020-03-12,"50,800","-1,300",48149999,21240119,17749174,3490945,6858505,15967709,-9109204,5618259,,,20051375,14433116,41.64356265095665,-11.656927925248187,29.97531941797133,-10.1670580190784,11.668243232985322,7.250145529598038,-18.91838876258336
